,training_data_thu.csv_diff,count1,training_data_ICTCLAS.csv_diff,count2,training_data_thu.csv_SegmentedInput,training_data_ICTCLAS.csv_SegmentedInput
4856,! 其他人 ! 贷记卡 ! 银中,3,! 其 ! 他人 ! 贷 ! 记 ! 卡 ! 银 ! 中,7,其他人 的 贷记卡 ， 我 能 在 我 的 网 银中 查看 吗,其 他人 的 贷 记 卡 ， 我 能 在 我 的 网 银 中 查看 吗
4857,! 其他人 ! 贷记卡 ! 还款,3,! 其他 ! 人 ! 贷 ! 记 ! 卡 ! 还 ! 款,7,我 要 给 其他人 的 贷记卡 还款 ， 我 怎么 查 他 欠 了 多少 钱,我 要 给 其他 人 的 贷 记 卡 还 款 ， 我 怎么 查 他 欠 了 多少 钱
4858,! 网银,1,! 网 ! 银,2,我 能 在 我 网银 查 到 别人 信用卡 信息 吗,我 能 在 我 网 银 查 到 别人 信用卡 信息 吗
4859,,0,,0,我 怎么 查 别人 信用卡 欠 了 多少 钱,我 怎么 查 别人 信用卡 欠 了 多少 钱
4860,,0,,0,给 他 行 还款,给 他 行 还款
4861,! 借贷卡 ! 还 ! 款,3,! 借贷 ! 卡 ! 还款,3,还 借贷卡 怎么 还 款,还 借贷 卡 怎么 还款
4862,,0,,0,还款 怎么 还,还款 怎么 还
4863,,0,,0,还 信用卡 怎么 做,还 信用卡 怎么 做
4864,! 贷记卡 ! 网银,2,! 贷 ! 记 ! 卡 ! 网 ! 银,5,郑州 银行 贷记卡 怎么 用 网银 还款,郑州 银行 贷 记 卡 怎么 用 网 银 还款
4865,! 网银,1,! 网 ! 银,2,郑州 银行 信用卡 怎么 用 网银 还款,郑州 银行 信用卡 怎么 用 网 银 还款
4866,! 网银 ! 行卡,2,! 网 ! 银 ! 行 ! 卡,4,如何 用 网银 给 他 行卡 还款,如何 用 网 银 给 他 行 卡 还款
4867,! 行卡 ! 还款 ! 网银,3,! 行 ! 卡 ! 还 ! 款 ! 网 ! 银,6,他 行卡 要 还款 ， 网银 可以 做 吗,他 行 卡 要 还 款 ， 网 银 可以 做 吗
4868,! 行卡 ! 还款 ! 网银,3,! 行 ! 卡 ! 还 ! 款 ! 网 ! 银,6,他 行卡 要 还款 ， 网银 怎么 做,他 行 卡 要 还 款 ， 网 银 怎么 做
4869,! 网银,1,! 网 ! 银,2,他 行 信用卡 到期 了 怎么 用 网银 还,他 行 信用卡 到期 了 怎么 用 网 银 还
4870,! 网银,1,! 网 ! 银,2,他 行 信用卡 到期 了 怎么 用 网银 还 还,他 行 信用卡 到期 了 怎么 用 网 银 还 还
4871,,0,,0,他 行 信用卡 怎么 还,他 行 信用卡 怎么 还
4872,! 通过,1,! 通 ! 过,2,通过 什么 方式 给 他 行 信用卡 还款,通 过 什么 方式 给 他 行 信用卡 还款
4873,,0,,0,信用卡 还款,信用卡 还款
4874,,0,,0,怎么 给 他 行 信用卡 还款,怎么 给 他 行 信用卡 还款
4875,! 还 ! 款,2,! 还款,1,怎么 还 款,怎么 还款
4876,! 网银 ! 贷记卡,2,! 网 ! 银 ! 贷 ! 记 ! 卡,5,怎么 用 网银 给 郑州 银行 贷记卡 还款,怎么 用 网 银 给 郑州 银行 贷 记 卡 还款
4877,! 网银,1,! 网 ! 银,2,怎么 用 网银 给 郑州 银行 信用卡 还款,怎么 用 网 银 给 郑州 银行 信用卡 还款
4878,! 还 ! 款,2,! 还款,1,账单 到期 了 快 ， 怎么 还 款,账单 到期 了 快 ， 怎么 还款
4879,! 网银,1,! 网 ! 银,2,我 要 还 信用卡 ， 在 网银 里 怎么 还,我 要 还 信用卡 ， 在 网 银 里 怎么 还
4880,! 贷记卡 ! 网银,2,! 贷 ! 记 ! 卡 ! 网 ! 银,5,我 贷记卡 账单 到 了 ， 我 有 网银 ， 能 还 吗,我 贷 记 卡 账单 到 了 ， 我 有 网 银 ， 能 还 吗
4881,! 网银,1,! 网 ! 银,2,能 用 网银 还 信用卡 吗,能 用 网 银 还 信用卡 吗
4882,! 网银 ! 到期,2,! 网 ! 银 ! 到 ! 期,4,我 怎么 用 网银 给 信用卡 设置 到期 自动 还款,我 怎么 用 网 银 给 信用卡 设置 到 期 自动 还款
4883,,0,,0,办 卡 进度 怎么 查,办 卡 进度 怎么 查
4884,! 贷记卡,1,! 贷 ! 记 ! 卡,3,贷记卡 进度 怎么 在 网上 查询,贷 记 卡 进度 怎么 在 网上 查询
4885,,0,,0,进度 哪里 能 看,进度 哪里 能 看
4886,! 卡怎么,1,! 卡 ! 怎么,2,申请 的 卡怎么 还 没有 到,申请 的 卡 怎么 还 没有 到
4887,,0,,0,我 办理 信用卡 能 帮 我 查 一下 吗,我 办理 信用卡 能 帮 我 查 一下 吗
4888,,0,,0,我 办 信用卡 什么 时候 给 我,我 办 信用卡 什么 时候 给 我
4889,,0,,0,我 申请 了 你们 的 信用卡 ， 怎么 还 没有 消息,我 申请 了 你们 的 信用卡 ， 怎么 还 没有 消息
4890,,0,,0,我 想 查 一下 信用卡 进度,我 想 查 一下 信用卡 进度
4891,,0,,0,信用卡 进度 怎么 在 网上 查询,信用卡 进度 怎么 在 网上 查询
4892,,0,,0,信用卡 一般 什么 时候 邮寄,信用卡 一般 什么 时候 邮寄
4893,! 贷记卡 ! 网银,2,! 贷 ! 记 ! 卡 ! 网 ! 银,5,我 申请 了 贷记卡 ， 怎么 用 网银 查询 申请 情况,我 申请 了 贷 记 卡 ， 怎么 用 网 银 查询 申请 情况
4894,! 网银,1,! 网 ! 银,2,网银 中 能 查询 信用卡 申请 情况 吗,网 银 中 能 查询 信用卡 申请 情况 吗
4895,,0,,0,调 高 额度,调 高 额度
4896,,0,,0,能 在 网上 永久 调整 信用卡 额度 吗,能 在 网上 永久 调整 信用卡 额度 吗
4897,,0,,0,请 帮助 我 调 高 额度,请 帮助 我 调 高 额度
4898,,0,,0,请问 信用卡 额度 如何 在 网上 调整,请问 信用卡 额度 如何 在 网上 调整
4899,,0,,0,如何 在 网上 调整 信用卡 临时 额度,如何 在 网上 调整 信用卡 临时 额度
4900,! 网银 ! 不 ! 能,3,! 网 ! 银 ! 不能,3,网银 不 能 调 低 信用卡 额度 吗,网 银 不能 调 低 信用卡 额度 吗
4901,! 网银 ! 不 ! 能,3,! 网 ! 银 ! 不能,3,网银 不 能 调 高 信用卡 额度 吗,网 银 不能 调 高 信用卡 额度 吗
4902,! 网银,1,! 网 ! 银,2,信用卡 临时 额度 怎么 通过 网银 调,信用卡 临时 额度 怎么 通过 网 银 调
4903,,0,,0,信用卡 网上 调整 额度 怎么 弄,信用卡 网上 调整 额度 怎么 弄
4904,,0,,0,信用卡 永久 额度 怎么 调,信用卡 永久 额度 怎么 调
4905,! 网银,1,! 网 ! 银,2,怎么 用 网银 调整 信用卡 额度,怎么 用 网 银 调整 信用卡 额度
4906,! 网银,1,! 网 ! 银,2,网银 的 什么 菜单 调整 信用卡 额度,网 银 的 什么 菜单 调整 信用卡 额度
4907,! 贷记卡,1,! 贷 ! 记 ! 卡,3,贷记卡 信息 接收 的 号码 在 哪里 能 看到,贷 记 卡 信息 接收 的 号码 在 哪里 能 看到
4908,! 贷记卡,1,! 贷 ! 记 ! 卡,3,贷记卡 预留 号码 怎么 改,贷 记 卡 预留 号码 怎么 改
4909,,0,,0,你们 行 信用卡 手机 号码 在 网上 怎么 改,你们 行 信用卡 手机 号码 在 网上 怎么 改
4910,! 网银 ! 记卡 ! 绑定,3,! 网 ! 银 ! 记 ! 卡 ! 绑 ! 定,6,网银 能 改 贷 记卡 绑定 号码 吗,网 银 能 改 贷 记 卡 绑 定 号码 吗
4911,! 网银,1,! 网 ! 银,2,网银 能 改 信用卡 手机 号码 吗,网 银 能 改 信用卡 手机 号码 吗
4912,! 贷记卡,1,! 贷 ! 记 ! 卡,3,我 想 在 网上 修改 贷记卡 预留 手机 号码,我 想 在 网上 修改 贷 记 卡 预留 手机 号码
4913,! 绑定,1,! 绑 ! 定,2,信用卡 绑定 号码 怎么 改,信用卡 绑 定 号码 怎么 改
4914,,0,,0,信用卡 交易 接收 号码 如何 核对,信用卡 交易 接收 号码 如何 核对
4915,,0,,0,信用卡 信息 接收 的 号码 在 哪里 能 看到,信用卡 信息 接收 的 号码 在 哪里 能 看到
4916,! 网银,1,! 网 ! 银,2,信用卡 预留 号码 怎么 在 网银 改,信用卡 预留 号码 怎么 在 网 银 改
4917,! 贷记卡 ! 网银,2,! 贷 ! 记 ! 卡 ! 网 ! 银,5,贷记卡 的 信息 能 在 网银 上 改 吗,贷 记 卡 的 信息 能 在 网 银 上 改 吗
4918,! 贷记卡,1,! 贷 ! 记 ! 卡,3,贷记卡 积分 能 兑 吗,贷 记 卡 积分 能 兑 吗
4919,! 贷记卡,1,! 贷 ! 记 ! 卡,3,贷记卡 积分 有 什么 用,贷 记 卡 积分 有 什么 用
4920,! 网银,1,! 网 ! 银,2,积分 如何 在 网银 兑换,积分 如何 在 网 银 兑换
4921,,0,,0,积分 有 什么 用,积分 有 什么 用
4922,,0,,0,积分 怎么 用,积分 怎么 用
4923,! 网银,1,! 网 ! 银,2,网银 积分 兑换 怎么 弄,网 银 积分 兑换 怎么 弄
4924,! 你行,1,! 你 ! 行,2,我 有 你行 信用卡 ， 请问 积分 兑换 怎么 操作,我 有 你 行 信用卡 ， 请问 积分 兑换 怎么 操作
4925,,0,,0,信用卡 积分 能 兑 吗,信用卡 积分 能 兑 吗
4926,,0,,0,信用卡 积分 有 什么 用,信用卡 积分 有 什么 用
4927,! 网银,1,! 网 ! 银,2,信用卡 网银 积分 兑换,信用卡 网 银 积分 兑换
4928,,0,,0,信用卡 积分 怎么 在 网上 查询,信用卡 积分 怎么 在 网上 查询
4929,! 换成,1,! 换 ! 成,2,美元 能 换成 人民币 吗,美元 能 换 成 人民币 吗
4930,,0,,0,人民币 能 在 网上 兑换 美元 吗,人民币 能 在 网上 兑换 美元 吗
4931,! 网银,1,! 网 ! 银,2,人民币 能 在 网银 兑换 美元 吗,人民币 能 在 网 银 兑换 美元 吗
4932,,0,,0,如何 将 美金 换 回 本币,如何 将 美金 换 回 本币
4933,! 网银,1,! 网 ! 银,2,外币 能 通过 网银 换 吗,外币 能 通过 网 银 换 吗
4934,! 银能,1,! 银 ! 能,2,外币 网 银能 兑换 吗,外币 网 银 能 兑换 吗
4935,! 网银,1,! 网 ! 银,2,外汇 能 在 网银 兑换 吗,外汇 能 在 网 银 兑换 吗
4936,! 网银,1,! 网 ! 银,2,网银 可以 操作 外币 兑换 吗,网 银 可以 操作 外币 兑换 吗
4937,! 银能,1,! 银 ! 能,2,网 银能 兑换 美金 吗,网 银 能 兑换 美金 吗
4938,! 网银,1,! 网 ! 银,2,网银 能 换 港币 吗,网 银 能 换 港币 吗
4939,,0,,0,网上 能 结售汇 吗,网上 能 结售汇 吗
4940,,0,,0,我 有 美元 ， 想 换 人民币 ， 网上 能 换 吗,我 有 美元 ， 想 换 人民币 ， 网上 能 换 吗
4941,,0,,0,我 想 买 美元 ， 网上 能 买 吗,我 想 买 美元 ， 网上 能 买 吗
4942,,0,,0,“ 个人 外汇 ” 中 个人 信息 审核 时间,“ 个人 外汇 ” 中 个人 信息 审核 时间
4943,,0,,0,跨境 电汇 审核 信息 要 多久,跨境 电汇 审核 信息 要 多久
4944,! 几 ! 个 ! 工作日,3,! 几个 ! 工作 ! 日,3,跨境 电汇 审核 信息 要 几 个 工作日,跨境 电汇 审核 信息 要 几个 工作 日
4945,,0,,0,外币 业务 个人 信息 审核 时间 是,外币 业务 个人 信息 审核 时间 是
4946,,0,,0,外币 业务 信息 审核 请问 具体 要 多久,外币 业务 信息 审核 请问 具体 要 多久
4947,,0,,0,外汇 业务 审核 个人 提交 的 信息 要 多久,外汇 业务 审核 个人 提交 的 信息 要 多久
4948,! 网银,1,! 网 ! 银,2,网银 “ 个人 外汇 ” 业务 的 信息 什么 时候 审核 完成,网 银 “ 个人 外汇 ” 业务 的 信息 什么 时候 审核 完成
4949,! 好几 ! 天,2,! 好 ! 几天,2,我 个人 信息 提交 好几 天 怎么 还 没有 消息,我 个人 信息 提交 好 几天 怎么 还 没有 消息
4950,,0,,0,我 想 向 境外 汇款 ， 怎么 审核 还 没有 通过,我 想 向 境外 汇款 ， 怎么 审核 还 没有 通过
4951,,0,,0,信息 审核 多久 后 可以 交易 外币 业务,信息 审核 多久 后 可以 交易 外币 业务
4952,,0,,0,我 要 给 国外 汇款 ， 提示 我 审核 信息 ， 这 要 多久 完成,我 要 给 国外 汇款 ， 提示 我 审核 信息 ， 这 要 多久 完成
4953,,0,,0,刚 买 的 理财 能 取消 吗,刚 买 的 理财 能 取消 吗
4954,! 个人 ! 网银,2,! 个 ! 人 ! 网 ! 银,4,个人 网银 购买 的 理财 产品 哪些 可以 撤销,个 人 网 银 购买 的 理财 产品 哪些 可以 撤销
4955,,0,,0,理财 不 想 买 了 怎么 办,理财 不 想 买 了 怎么 办
4956,,0,,0,理财 产品 买 错 了 如何 取消,理财 产品 买 错 了 如何 取消
4957,! 扣款,1,! 扣 ! 款,2,理财 钱 已经 扣款 还 能 取消 吗,理财 钱 已经 扣 款 还 能 取消 吗
4958,,0,,0,能 把 买 的 理财 钱 退 了 吗,能 把 买 的 理财 钱 退 了 吗
4959,,0,,0,如何 撤销 理财 产品 购买,如何 撤销 理财 产品 购买
4960,! 怎么办,1,! 怎么 ! 办,2,新 买 的 理财 想 取消 交易 怎么办,新 买 的 理财 想 取消 交易 怎么 办
4961,,0,,0,怎么 撤销 购买 的 理财 产品,怎么 撤销 购买 的 理财 产品
4962,,0,,0,怎么 取消 购买 的 理财 产品,怎么 取消 购买 的 理财 产品
4963,,0,,0,什么 理财 产品 可以 在 网上 撤销,什么 理财 产品 可以 在 网上 撤销
4964,! 网银 ! 网银,2,! 网 ! 银 ! 网 ! 银,4,网银 买 了 理财 ， 怎么 用 网银 撤销,网 银 买 了 理财 ， 怎么 用 网 银 撤销
4965,! 网银,1,! 网 ! 银,2,我 在 网银 中 买 了 理财 产品 ， 现在 不 想 买 了 ， 怎么 办,我 在 网 银 中 买 了 理财 产品 ， 现在 不 想 买 了 ， 怎么 办
4966,,0,,0,我 刚 买 的 理财 产品 ， 现在 钱 有 急用 ， 能 取消 吗,我 刚 买 的 理财 产品 ， 现在 钱 有 急用 ， 能 取消 吗
4967,! 得 ! 利,2,! 得利,1,安心 得 利 怎么 在 网上 赎回,安心 得利 怎么 在 网上 赎回
4968,,0,,0,安心 快 线 第 * 期 怎么 在 网上 赎回,安心 快 线 第 * 期 怎么 在 网上 赎回
4969,! 本利丰,1,! 本利 ! 丰,2,本利丰 怎么 在 网上 赎回,本利 丰 怎么 在 网上 赎回
4970,! 业务网 ! 上,2,! 业务 ! 网上,2,理财 业务网 上 赎回 怎么 做,理财 业务 网上 赎回 怎么 做
4971,! 赎 ! 回,2,! 赎回,1,理财 怎么 赎 回,理财 怎么 赎回
4972,,0,,0,赎回 理财 如何 操作,赎回 理财 如何 操作
4973,! 网银,1,! 网 ! 银,2,网银 中 赎回 理财 产品 的 具体 菜单 是 什么,网 银 中 赎回 理财 产品 的 具体 菜单 是 什么
4974,,0,,0,为什么 我 的 理财 不 能 赎回,为什么 我 的 理财 不 能 赎回
4975,! 网银 ! 赎 ! 回,3,! 网 ! 银 ! 赎回,3,我 的 理财 产品 网银 中 在 哪 赎 回,我 的 理财 产品 网 银 中 在 哪 赎回
4976,,0,,0,我 理财 到期 了 怎么 办,我 理财 到期 了 怎么 办
4977,,0,,0,网上 能 赎回 到期 的 理财 产品 吗,网上 能 赎回 到期 的 理财 产品 吗
4978,,0,,0,我 这 款 理财 产品 是 需要 主动 赎回 的 ， 能 在 网上 赎 吗,我 这 款 理财 产品 是 需要 主动 赎回 的 ， 能 在 网上 赎 吗
4979,! 网银,1,! 网 ! 银,2,安心 得 利 的 网银 购买 菜单 是,安心 得 利 的 网 银 购买 菜单 是
4980,! 得 ! 利 ! 网银,3,! 得利 ! 网 ! 银,3,安心 得 利 网银 的 购买 位置 是,安心 得利 网 银 的 购买 位置 是
4981,! 网银,1,! 网 ! 银,2,安心 得 利 在 网银 的 哪里 买,安心 得 利 在 网 银 的 哪里 买
4982,! 网银,1,! 网 ! 银,2,告诉 我 网银 买 理财 的 步骤,告诉 我 网 银 买 理财 的 步骤
4983,,0,,0,理财 如何 购买,理财 如何 购买
4984,,0,,0,理财 是 在 “ 投资 理财 ” 中 操作 吗,理财 是 在 “ 投资 理财 ” 中 操作 吗
4985,! 网银,1,! 网 ! 银,2,网银 买 理财 如何 操作,网 银 买 理财 如何 操作
4986,! XXXX,1,! xxxx,1,我 想 买 XXXX 理财 如何 操作,我 想 买 xxxx 理财 如何 操作
4987,! 办理,1,! 办 ! 理,2,我 想 投资 买 理财 该 如何 办理,我 想 投资 买 理财 该 如何 办 理
4988,! 网银,1,! 网 ! 银,2,怎么 用 网银 买 理财,怎么 用 网 银 买 理财
4989,! 网银,1,! 网 ! 银,2,在 网银 中 哪个 菜单 可以 买 理财,在 网 银 中 哪个 菜单 可以 买 理财
4990,! 第一 ! 次,2,! 第一次,1,第一 次 操作 购买 理财 ， 步骤 如何,第一次 操作 购买 理财 ， 步骤 如何
4991,! 网银,1,! 网 ! 银,2,柜台 签约 和 网银 签约 不 一样 吗 ， 为什么 不 能 买 提示 。,柜台 签约 和 网 银 签约 不 一样 吗 ， 为什么 不 能 买 提示 。
4992,! 不 ! 能 ! 得 ! 利,4,! 不能 ! 得利,2,如果 没有 到 网点 签约 就 不 能 买 安心 得 利 吗,如果 没有 到 网点 签约 就 不能 买 安心 得利 吗
4993,! 不 ! 能 ! 网银,3,! 不能 ! 网 ! 银,3,如果 没有 到 网点 签约 就 不 能 在 网银 买 理财 吗,如果 没有 到 网点 签约 就 不能 在 网 银 买 理财 吗
4994,! 首 ! 次 ! 网银,3,! 首次 ! 网 ! 银,3,首 次 购买 理财 ， 可以 在 网银 自行 签约 吗,首次 购买 理财 ， 可以 在 网 银 自行 签约 吗
4995,! 首 ! 次 ! 网银,3,! 首次 ! 网 ! 银,3,提示 首 次 购买 要 签约 ， 网银 能 操作 吗,提示 首次 购买 要 签约 ， 网 银 能 操作 吗
4996,! 网银 ! 第一 ! 次,3,! 网 ! 银 ! 第一次,3,网银 第一 次 购买 理财 要 签约 吗,网 银 第一次 购买 理财 要 签约 吗
4997,! 网银 ! 首 ! 次,3,! 网 ! 银 ! 首次,3,网银 首 次 购买 理财 有 什么 要求 吗,网 银 首次 购买 理财 有 什么 要求 吗
4998,! 不 ! 能,2,! 不能,1,为什么 我 不 能 在 网上 买 理财,为什么 我 不能 在 网上 买 理财
4999,,0,,0,为什么 我 一 买 理财 就 报 错,为什么 我 一 买 理财 就 报 错
5000,! 第一 ! 次,2,! 第一次,1,我 第一 次 在 网上 买 理财 ， 提示 我 要 签约 ， 我 怎么 签,我 第一次 在 网上 买 理财 ， 提示 我 要 签约 ， 我 怎么 签
5001,! 第一 ! 次,2,! 第一次,1,我 第一 次 在 网上 买 理财 ， 要 怎么 做,我 第一次 在 网上 买 理财 ， 要 怎么 做
5002,,0,,0,我 以前 没 买 过 理财 ， 现在 要 在 网上 买 ， 有 什么 要 注意 的 吗,我 以前 没 买 过 理财 ， 现在 要 在 网上 买 ， 有 什么 要 注意 的 吗
5003,,0,,0,网上 买 理财 ， 还 得到 柜台 签约,网上 买 理财 ， 还 得到 柜台 签约
5004,! 赎 ! 回,2,! 赎回,1,天天 利滚利 什么 时候 能 赎 回,天天 利滚利 什么 时候 能 赎回
5005,,0,,0,天天 利滚利 赎回 具体 时间 要求,天天 利滚利 赎回 具体 时间 要求
5006,! 赎 ! 回,2,! 赎回,1,天天 利滚利 赎 回 时间,天天 利滚利 赎回 时间
5007,! 赎 ! 回,2,! 赎回,1,天天 利滚利 赎 回 时间 有 限制 吗,天天 利滚利 赎回 时间 有 限制 吗
5008,! 赎 ! 回,2,! 赎回,1,天天 利滚利 赎 回 时间 有 要求 吗,天天 利滚利 赎回 时间 有 要求 吗
5009,,0,,0,天天 利滚利 赎回 需要 多 长 时间,天天 利滚利 赎回 需要 多 长 时间
5010,,0,,0,天天 利滚利 只能 工作日 赎回 吗,天天 利滚利 只能 工作日 赎回 吗
5011,,0,,0,天天 利滚利 周六 能 赎回 吗,天天 利滚利 周六 能 赎回 吗
5012,,0,,0,天天 利滚利 周日 能 赎回 吗,天天 利滚利 周日 能 赎回 吗
5013,! 赎 ! 回天天,2,! 赎回 ! 天天,2,我 想 赎 回天天 利滚利 什么 时候 能 操作,我 想 赎回 天天 利滚利 什么 时候 能 操作
5014,! 赎 ! 回天天利 ! 滚利 ! 不行,4,! 赎回 ! 天天 ! 利滚利 ! 不 ! 行,5,我 刚 赎 回天天利 滚利 的 时候 ， 怎么 不行 呢,我 刚 赎回 天天 利滚利 的 时候 ， 怎么 不 行 呢
5015,,0,,0,理财 购买 成功 后 资金 当时 就 扣 吗,理财 购买 成功 后 资金 当时 就 扣 吗
5016,,0,,0,理财 购买 成功 后 资金 实时 清算 吗,理财 购买 成功 后 资金 实时 清算 吗
5017,,0,,0,理财 买 完 钱 怎么 没有 少,理财 买 完 钱 怎么 没有 少
5018,,0,,0,理财 一旦 购买 成功 资金 就 减少 吗,理财 一旦 购买 成功 资金 就 减少 吗
5019,! 完理 ! 财钱,2,! 完 ! 理财 ! 钱,3,买 完理 财钱 怎么 没有 扣,买 完 理财 钱 怎么 没有 扣
5020,,0,,0,钱 如果 没有 少 ， 理财 算 购买 成功 吗,钱 如果 没有 少 ， 理财 算 购买 成功 吗
5021,! 网银,1,! 网 ! 银,2,网银 购买 的 理财 什么 时候 扣 款,网 银 购买 的 理财 什么 时候 扣 款
5022,,0,,0,为什么 账户 资金 没有 少 ， 买 完 理财,为什么 账户 资金 没有 少 ， 买 完 理财
5023,,0,,0,我 刚 买 的 理财 什么 时候 扣 款,我 刚 买 的 理财 什么 时候 扣 款
5024,,0,,0,我 是否 买 成功 理财 了 呢 怎么 钱 没 少,我 是否 买 成功 理财 了 呢 怎么 钱 没 少
5025,,0,,0,我 在 网上 买 的 理财 ， 怎么 没有 扣 钱,我 在 网上 买 的 理财 ， 怎么 没有 扣 钱
